Label,Time,XPos,YPos,ZPos,XRot,YRot,ZRot
Head,45.54,-0.3394679,1.427682,-7.629846,27.95461,89.21084,13.26013
Head,45.76,-0.3456115,1.454174,-7.624694,34.2248,81.66438,26.69922
Head,45.98,-0.3818264,1.48875,-7.613261,35.87785,90.1728,29.71859
Head,46.22,-0.4459878,1.488169,-7.591532,45.5627,91.3728,32.8443
Head,46.44,-0.5093486,1.482779,-7.54975,50.44063,98.71615,23.06543
Head,46.68,-0.569436,1.483916,-7.535169,55.99891,97.29982,26.69581
Head,46.9,-0.59695,1.479411,-7.525741,49.9406,94.15568,23.20774
Head,47.14,-0.6154531,1.481363,-7.509103,45.82542,97.74477,21.26425
Head,47.36,-0.6236526,1.489375,-7.497635,55.20078,103.6168,22.25451
Head,47.6,-0.6458746,1.5007,-7.503654,42.9086,93.94797,16.3335
Head,47.82,-0.6929362,1.549284,-7.513107,39.92357,98.14245,10.99565
Head,48.04,-0.7247627,1.592369,-7.524818,38.28463,110.5177,5.086243
Head,48.28,-0.6804093,1.566909,-7.514005,34.86592,93.07276,13.2495
Head,48.5,-0.5614878,1.523252,-7.491629,41.33916,82.13683,16.63548
Head,48.74,-0.4693738,1.509178,-7.467387,42.54107,80.22577,16.1034
Head,48.96,-0.4582329,1.538912,-7.458847,39.07598,80.22686,14.62914
Head,49.2,-0.4490871,1.570035,-7.47576,36.29055,79.96143,14.7833
Head,49.42,-0.4466613,1.564648,-7.466544,33.38557,80.94494,12.43165
Head,49.66,-0.4407994,1.566562,-7.452477,31.44226,79.13294,11.28538
Head,49.88,-0.4335395,1.564619,-7.451066,27.44657,78.47578,11.0687
Head,50.1,0.01345542,1.578854,-7.843969,25.64793,0.6659949,9.503068
Head,50.32,0.0307346,1.59502,-7.853179,20.35865,2.249496,8.47008
Head,50.56,0.04630095,1.609739,-7.862429,17.45872,3.1119,6.044027
Head,50.8,0.05767682,1.617826,-7.871601,16.05883,3.94438,4.703152
Head,51.02,0.05584255,1.622375,-7.880799,14.20313,3.338875,4.401401
Head,51.26,0.05955228,1.62043,-7.880065,11.06431,5.563975,6.151436
Head,51.48,0.06558448,1.613297,-7.864223,12.67775,5.121287,6.953326
Head,51.7,0.07066819,1.609921,-7.8503,12.28768,5.117782,6.633026
Head,51.94,0.06950656,1.616477,-7.844571,10.01256,5.985414,6.088683
Head,52.16,0.06720772,1.621749,-7.836165,4.143473,5.913025,6.063493
Head,52.4,0.06377366,1.618859,-7.833163,4.142553,7.545718,8.297622
Head,52.62,0.05745363,1.615834,-7.831748,3.250877,8.51614,5.56009
Head,52.86,0.05344018,1.621099,-7.834382,359.2623,7.318622,7.945558
Head,53.08,0.04792115,1.613449,-7.828438,3.36849,6.524122,7.642391
Head,53.32,0.04321212,1.608403,-7.819358,4.219339,4.63751,4.087037
Head,53.56,0.04174224,1.612093,-7.819098,0.2709631,6.649863,0.6986948
Head,53.78,0.03550297,1.611426,-7.827073,4.262312,3.477028,1.297929
Head,54,0.03390154,1.617812,-7.83253,9.438895,3.412811,359.9715
Head,54.24,0.02750376,1.608854,-7.841994,25.17431,2.214282,358.4434
Head,54.46,0.01900187,1.608784,-7.828528,22.30286,3.220521,357.7654
Head,54.7,0.02470571,1.61352,-7.827431,20.4523,359.395,356.742
Head,54.92,0.02128884,1.61627,-7.83537,19.68005,352.2299,354.8858
Head,55.14,0.03034949,1.620281,-7.841604,19.60376,356.2313,352.2913
Head,55.36,0.03770107,1.62316,-7.845422,18.04048,356.7696,351.7692
Head,55.6,0.0467076,1.621118,-7.847879,19.1368,359.7969,354.6498
Head,55.82,0.04385874,1.619037,-7.852421,20.88217,0.3277608,354.7244
Head,56.06,0.04164937,1.618723,-7.854167,21.23075,359.6307,355.1254
Head,56.3,0.0400832,1.616522,-7.852865,21.62687,359.7682,355.9325
Head,56.52,0.03782728,1.615398,-7.853549,21.85561,359.1188,356.1894
Head,56.76,0.035638,1.613028,-7.854248,22.52157,358.1812,356.3574
Head,56.98,0.03277504,1.609905,-7.852533,22.82618,357.0104,356.8142
Head,57.22,0.03217086,1.60899,-7.851284,21.68933,355.6099,356.0855
Head,57.44,0.03312993,1.60876,-7.85043,20.66356,354.9982,355.6853
Head,57.68,0.03427491,1.610887,-7.849296,18.83719,353.8588,354.9548
Head,57.9,0.0355894,1.6136,-7.848849,15.07253,353.0667,357.2731
Head,58.14,0.02926043,1.612337,-7.848767,14.69825,350.8239,356.3242
Head,58.36,0.02712664,1.60582,-7.845601,15.69019,347.795,353.9276
Head,58.58,0.02496672,1.604084,-7.844843,15.58595,347.7806,354.2299
Head,58.82,0.02130035,1.602085,-7.840536,15.63118,345.8357,353.2405
Head,59.04,0.01434329,1.601821,-7.839365,15.34676,345.9821,354.4794
